employee_id,first_name,last_name,gender,state,city,hiredate,department,job_title,education_level,absences,recruitment_source,salary,performance_rating,overtime,birthdate,termdate,termination_reason
00-83763371,Padmi,Pratiwi,Female,Jawa Barat,Bekasi,2020-10-14,Sales,Sales Consultant,PhD,0,Other,26265868,Good,No,1989-03-10,,
00-95700705,Sarah,Nasyiah,Female,Jawa Barat,Bandung,2017-06-30,Sales,Sales Manager,Master,0,LinkedIn,34886453,Good,No,1995-02-14,,
00-99482259,Gading,Sihombing,Male,Bali,Denpasar,2017-07-11,IT,Software Developer,Bachelor,0,Other,19229234,Good,Yes,1985-05-10,,
00-94947603,Prasetyo,Wibisono,Male,Banten,Cilegon,2019-03-17,Operations,Inventory Specialist,Bachelor,0,Company Website,8379339,Good,No,1992-05-18,,
00-47057520,Oskar,Saputra,Male,Jawa Barat,Bekasi,2020-10-22,Sales,Sales Representative,Bachelor,0,Jobstreet,14223255,Satisfactory,No,1991-06-30,,
00-42626898,Wulan,Nasyiah,Female,Sumatera Utara,Tebing Tinggi,2015-02-28,IT,Software Developer,Master,0,Indeed,23600377,Excellent,No,1978-12-13,,
00-73789750,Agnes,Safitri,Female,Jawa Barat,Bogor,2022-01-10,Sales,Sales Consultant,PhD,0,Jobstreet,21442718,Good,Yes,1995-06-27,,
00-22009789,Gina,Rahmawati,Female,Banten,Cilegon,2017-09-04,IT,IT Support Specialist,Bachelor,9,Indeed,6017004,Needs Improvement,No,1999-10-01,,
00-93033107,Zalindra,Andriani,Female,Jawa Barat,Bekasi,2018-05-11,Sales,Sales Representative,Bachelor,0,LinkedIn,5259145,Good,Yes,1986-06-16,,
00-18022882,Abyasa,Wibowo,Male,Jawa Barat,Bandung,2018-09-13,IT,IT Support Specialist,High School,11,Job Fair,7309464,Satisfactory,No,1977-11-16,,
00-81988124,Harimurti,Uwais,Male,Jawa Tengah,Semarang,2023-10-10,Operations,Operations Analyst,Master,0,LinkedIn,15760322,Good,No,1981-07-10,,
00-41229060,Ina,Hastuti,Female,Jawa Barat,Bandung,2018-03-21,Marketing,Marketing Coordinator,Bachelor,0,Other,9388706,Satisfactory,No,1998-05-29,,
00-96522918,Paris,Nasyidah,Female,Jawa Barat,Bandung,2022-06-13,Sales,Sales Representative,Bachelor,0,Company Website,14681441,Satisfactory,No,1993-07-10,,
00-35899364,Joko,Dabukke,Male,Jawa Barat,Bandung,2015-02-25,Operations,Operations Analyst,Bachelor,0,Other,15271170,Good,No,1999-10-03,,
00-28083446,Narji,Mandala,Male,Jawa Barat,Bogor,2017-02-06,IT,IT Support Specialist,High School,0,LinkedIn,6695463,Good,No,1998-11-16,,
00-68720256,Artawan,Latupono,Male,Bali,Denpasar,2020-12-14,Operations,Inventory Specialist,High School,0,Jobstreet,4808684,Good,No,1984-10-12,,
00-75779034,Zulfa,Wulandari,Female,Jawa Barat,Bekasi,2017-06-10,Operations,Logistics Coordinator,Bachelor,0,Indeed,10831054,Good,No,1995-06-01,,
00-56662763,Tira,Rahimah,Female,Jawa Barat,Bekasi,2018-06-28,Operations,Operations Analyst,Master,0,Job Fair,20833014,Satisfactory,Yes,1993-12-17,,
00-90353461,Pangeran,Gunarto,Male,Sumatera Utara,Binjai,2024-08-13,Operations,Inventory Specialist,High School,0,Jobstreet,8891433,Good,No,1995-10-17,,
00-19244458,Cinta,Widiastuti,Female,Jawa Barat,Bekasi,2020-02-21,IT,Software Developer,Bachelor,0,Company Website,17031759,Good,Yes,1989-01-13,,
00-45346140,Suci,Suryatmi,Female,Jawa Barat,Bandung,2020-01-30,Finance,Financial Analyst,Master,8,LinkedIn,23227970,Good,No,1978-09-26,,
00-95634408,Lega,Suryono,Male,Jawa Barat,Bekasi,2020-01-25,Customer Service,Customer Service Representative,Bachelor,0,Other,10513011,Needs Improvement,Yes,1995-07-02,,
00-12512536,Maya,Kuswandari,Female,Sumatera Utara,Tebing Tinggi,2021-04-02,Customer Service,Help Desk Technician,High School,0,Indeed,5128425,Good,No,2000-06-24,,
00-93241474,Icha,Palastri,Female,Jawa Barat,Bogor,2017-11-27,Operations,Operations Analyst,Master,0,Indeed,20873839,Good,No,1989-11-24,,
00-98354109,Iriana,Suryatmi,Female,Jawa Barat,Bandung,2024-09-29,Operations,Inventory Specialist,High School,0,LinkedIn,6812093,Satisfactory,No,1982-12-22,,
00-80339453,Yance,Permata,Female,Sulawesi Selatan,Gowa,2022-05-04,Marketing,Content Creator,Bachelor,8,Jobstreet,11181260,Excellent,Yes,1962-08-25,,
00-92280734,Mila,Pudjiastuti,Female,Sumatera Utara,Tebing Tinggi,2017-04-01,Customer Service,Support Specialist,Bachelor,0,LinkedIn,6929549,Good,No,1973-11-17,,
00-53221337,Citra,Mulyani,Female,Jawa Barat,Bekasi,2016-02-22,Sales,Sales Consultant,Master,0,LinkedIn,17709691,Satisfactory,No,1995-11-17,,
00-18949617,Purwadi,Winarno,Male,Jawa Barat,Bogor,2015-08-16,Marketing,Content Creator,High School,17,LinkedIn,12235848,Good,No,1973-07-03,,
00-14197492,Cici,Lestari,Female,Jawa Barat,Bogor,2017-02-11,Operations,Inventory Specialist,High School,20,Job Fair,8710891,Good,Yes,1970-03-17,,
00-23254482,Catur,Prasetyo,Male,Jawa Barat,Bogor,2015-06-30,Operations,Logistics Coordinator,Bachelor,0,LinkedIn,16241399,Good,No,1992-04-08,,
00-62156850,Iriana,Safitri,Female,Jawa Barat,Bogor,2022-02-16,Operations,Logistics Coordinator,Bachelor,0,Company Website,6899580,Good,No,1976-02-14,,
00-89228847,Kawaca,Nugroho,Male,Sulawesi Selatan,Makassar,2017-10-27,IT,Software Developer,Bachelor,0,LinkedIn,25392101,Satisfactory,No,1992-08-23,,
00-91329718,Daniswara,Prasetyo,Male,Jawa Barat,Bandung,2022-04-30,Sales,Sales Consultant,Bachelor,0,Other,25699999,Good,No,2001-09-24,,
00-98013189,Jaiman,Mustofa,Male,Jawa Timur,Blitar,2020-11-27,Operations,Operations Analyst,Bachelor,0,Other,13232557,Good,No,1969-11-16,,
00-95753950,Banawa,Gunawan,Male,Jawa Barat,Bandung,2016-03-02,Sales,Sales Specialist,Master,0,Indeed,19435618,Good,No,1987-06-25,,
00-65828293,Respati,Siregar,Male,Jawa Barat,Bogor,2023-04-29,Customer Service,Support Specialist,High School,0,LinkedIn,5906842,Satisfactory,Yes,1991-09-03,,
00-92803389,Raden,Thamrin,Male,Sumatera Utara,Tebing Tinggi,2017-09-28,Sales,Sales Specialist,PhD,0,Job Fair,13129827,Good,Yes,1991-11-07,,
00-19447334,Rahmi,Fujiati,Female,Banten,Tangerang,2023-03-25,Customer Service,Customer Service Representative,Bachelor,0,Company Website,8750871,Good,No,1993-12-31,,
00-79724133,Zahra,Permata,Female,Jawa Barat,Bandung,2016-02-27,Operations,Operations Manager,Master,0,Indeed,24128829,Good,No,1995-02-19,,
00-81358338,Cornelia,Nasyiah,Female,Jawa Barat,Bandung,2018-05-19,Operations,Logistics Coordinator,Bachelor,0,Other,13240018,Satisfactory,No,1989-07-03,,
00-98164473,Harto,Rajasa,Male,Jawa Barat,Bekasi,2017-01-20,Sales,Sales Representative,Bachelor,0,Jobstreet,6802482,Good,No,1977-12-12,,
00-84950330,Murti,Maryadi,Male,Jawa Barat,Bogor,2022-04-12,Marketing,Marketing Coordinator,Bachelor,0,Company Website,5890715,Excellent,No,1979-10-14,,
00-24161873,Reza,Irawan,Male,Jawa Barat,Bekasi,2022-01-13,Operations,Inventory Specialist,Bachelor,0,Jobstreet,9250096,Good,Yes,1964-09-10,,
00-71568435,Wawan,Pangestu,Male,Jawa Barat,Bogor,2022-11-28,Operations,Operations Analyst,Bachelor,0,Other,14403814,Good,Yes,1982-07-26,,
00-32388767,Mila,Nasyiah,Female,Jawa Barat,Bekasi,2023-02-06,Operations,Inventory Specialist,High School,17,LinkedIn,8964956,Good,No,1973-07-19,,
00-77738718,Jail,Habibi,Male,Jawa Barat,Bogor,2018-11-09,IT,IT Support Specialist,Bachelor,0,LinkedIn,8990735,Satisfactory,No,1983-11-17,,
00-90519326,Wulan,Laksmiwati,Female,Jawa Barat,Bogor,2019-02-17,Operations,Inventory Specialist,High School,0,LinkedIn,9179654,Good,Yes,1994-04-11,,
00-83830667,Amalia,Handayani,Female,Sulawesi Selatan,Pare-Pare,2024-11-18,Sales,Sales Specialist,PhD,0,Jobstreet,15848674,Excellent,Yes,1989-11-03,,
00-59891348,Purwadi,Kusumo,Male,Sumatera Utara,Tebing Tinggi,2019-02-20,Sales,Sales Specialist,Bachelor,0,Jobstreet,24193990,Good,No,1988-03-08,,
00-53412847,Dalimin,Zulkarnain,Male,Jawa Barat,Bekasi,2021-06-05,HR,Recruiter,Bachelor,0,LinkedIn,17276446,Satisfactory,No,2001-02-05,,
00-38712948,Kasiyah,Hasanah,Female,Jawa Barat,Bandung,2018-08-15,IT,IT Support Specialist,High School,0,Company Website,8329583,Good,Yes,1984-09-06,,
00-44103265,Rini,Palastri,Female,Jawa Barat,Bogor,2018-12-23,Operations,Logistics Coordinator,Bachelor,0,LinkedIn,4668736,Satisfactory,No,1993-10-16,,
00-63296593,Rahmat,Firgantoro,Male,Jawa Barat,Bekasi,2015-01-09,IT,Software Developer,Bachelor,0,Company Website,27377078,Good,No,1978-03-05,,
00-89961933,Atmaja,Januar,Male,Jawa Barat,Bekasi,2015-12-17,HR,Recruiter,Bachelor,0,Other,19852860,Satisfactory,No,1973-01-04,,
00-10881653,Mariadi,Prasetya,Male,Jawa Barat,Bandung,2018-11-11,Sales,Sales Representative,Bachelor,9,Job Fair,15619907,Good,Yes,1981-02-28,,
00-52265790,Dian,Haryanti,Female,Jawa Barat,Bandung,2015-12-18,Operations,Inventory Specialist,Bachelor,8,Job Fair,5912685,Needs Improvement,No,1984-12-13,,
00-47038339,Zulfa,Prastuti,Female,Sumatera Utara,Tebing Tinggi,2024-02-17,Customer Service,Help Desk Technician,High School,0,Job Fair,5854552,Good,No,1993-09-29,,
00-86593789,Artanto,Pradipta,Male,Jawa Barat,Bandung,2024-01-20,Operations,Logistics Coordinator,Bachelor,11,Jobstreet,11142510,Good,No,1979-06-19,,
00-15064880,Cawisadi,Suwarno,Male,Sulawesi Selatan,Gowa,2019-06-18,Sales,Sales Consultant,PhD,0,Jobstreet,23002884,Satisfactory,No,1990-08-14,,
00-45566111,Rizki,Tarihoran,Male,Jawa Barat,Bekasi,2018-06-03,Sales,Sales Specialist,Master,0,Job Fair,12201208,Satisfactory,No,1985-10-20,,
00-41271945,Jamal,Budiman,Male,Jawa Barat,Bekasi,2017-05-29,IT,Software Developer,Bachelor,0,Jobstreet,30149525,Excellent,No,1989-02-08,,
00-86569490,Mahmud,Prabowo,Male,Jawa Barat,Bandung,2019-03-09,Customer Service,Customer Service Representative,Bachelor,0,Indeed,9490820,Satisfactory,No,1996-07-01,,
00-20361818,Garang,Kurniawan,Male,Jawa Barat,Bandung,2022-12-19,IT,IT Support Specialist,High School,0,LinkedIn,6472176,Good,Yes,1962-08-01,,
00-75535348,Cengkir,Mandala,Male,Jawa Barat,Bogor,2023-04-19,Sales,Sales Specialist,Bachelor,0,Company Website,16917327,Good,No,1986-05-17,,
00-87340611,Ivan,Hutagalung,Male,Jawa Barat,Bekasi,2023-01-14,IT,IT Support Specialist,High School,11,Indeed,5679835,Good,No,1974-12-26,,
00-96201956,Luwes,Saragih,Male,Jawa Barat,Bogor,2018-08-28,Sales,Sales Representative,Bachelor,0,Other,14778887,Good,No,1976-09-25,,
00-87347488,Dipa,Sinaga,Male,Jawa Barat,Bekasi,2018-04-25,Marketing,Marketing Coordinator,Bachelor,0,LinkedIn,12569132,Good,Yes,2004-08-14,,
00-54881018,Najwa,Safitri,Female,Jawa Barat,Bandung,2018-12-09,Sales,Sales Specialist,Master,0,Company Website,15383063,Satisfactory,No,1996-03-16,,
00-26178675,Pia,Yolanda,Female,Jawa Barat,Bandung,2023-01-24,Operations,Operations Analyst,Master,0,Company Website,14962157,Satisfactory,No,1989-03-24,,
00-97614538,Bakianto,Mandala,Male,Jawa Barat,Bogor,2023-05-29,Operations,Inventory Specialist,Bachelor,0,LinkedIn,5097862,Satisfactory,No,1993-03-25,,
00-94851591,Cahyo,Pranowo,Male,Jawa Barat,Bogor,2018-03-19,IT,System Administrator,Master,4,Company Website,10912057,Good,No,1999-02-13,,
00-15527388,Margana,Wacana,Male,Jawa Barat,Bogor,2018-07-24,Customer Service,Customer Service Manager,Master,0,LinkedIn,23011636,Good,No,1972-02-29,,
00-53866598,Hilda,Anggraini,Female,Jawa Barat,Bogor,2020-05-28,Operations,Operations Analyst,Bachelor,10,LinkedIn,13918674,Satisfactory,No,1967-09-13,,
00-16780654,Violet,Rahayu,Female,Jawa Barat,Bogor,2022-07-06,Customer Service,Customer Service Representative,Bachelor,9,Jobstreet,4372744,Good,No,1996-05-12,,
00-89877290,Kenari,Wijaya,Male,Sulawesi Selatan,Pare-Pare,2020-07-07,Operations,Logistics Coordinator,Bachelor,0,LinkedIn,16442514,Good,No,1983-11-04,,
00-67973424,Jelita,Widiastuti,Female,Jawa Barat,Bandung,2017-05-05,Customer Service,Support Specialist,High School,0,Other,4811645,Good,Yes,1966-05-23,,
00-27742113,Harsanto,Mansur,Male,Banten,Tangerang,2018-03-11,Operations,Logistics Coordinator,Bachelor,0,Other,10410945,Needs Improvement,No,1984-04-23,,
00-16618423,Akarsana,Manullang,Male,Jawa Barat,Bandung,2020-08-19,Sales,Sales Representative,Bachelor,0,LinkedIn,15049033,Satisfactory,No,1970-12-24,,
00-63489393,Darmaji,Budiman,Male,Jawa Barat,Bandung,2020-12-13,Operations,Inventory Specialist,Bachelor,0,Jobstreet,8962949,Good,No,1973-11-18,,
00-28102047,Rosman,Wibisono,Male,Jawa Barat,Bekasi,2019-04-20,IT,IT Support Specialist,Bachelor,0,LinkedIn,8076504,Good,Yes,1974-07-23,,
00-63058791,Asmianto,Waskita,Male,Jawa Barat,Bandung,2022-07-03,Customer Service,Customer Service Representative,High School,19,Indeed,8211049,Excellent,No,1999-10-25,,
00-92677695,Paris,Rahayu,Female,Jawa Barat,Bogor,2024-10-24,Operations,Inventory Specialist,High School,11,Job Fair,5350314,Good,No,1976-06-19,,
00-42522981,Restu,Nuraini,Female,Jawa Barat,Bogor,2016-03-02,Operations,Inventory Specialist,Bachelor,0,LinkedIn,5092362,Satisfactory,No,1980-10-06,,
00-87311859,Baktianto,Maheswara,Male,Jawa Barat,Bogor,2016-09-12,Customer Service,Customer Service Representative,High School,13,Job Fair,10011215,Good,No,1993-06-08,,
00-66846657,Dimas,Mansur,Male,Jawa Barat,Bandung,2018-07-27,Operations,Inventory Specialist,High School,14,Company Website,8817407,Good,No,1960-11-29,,
00-56241350,Rahman,Widodo,Male,Jawa Barat,Bandung,2020-12-22,Sales,Sales Consultant,Master,0,Company Website,18074755,Good,No,1971-05-18,,
00-50912093,Unjani,Handayani,Female,Jawa Barat,Bandung,2017-10-24,IT,IT Support Specialist,High School,0,Job Fair,8208166,Good,Yes,1976-11-01,,
00-69352435,Gawati,Sudiati,Female,Jawa Barat,Bekasi,2021-05-18,Marketing,Marketing Coordinator,Bachelor,0,Other,4666164,Good,No,1985-03-08,,
00-41338443,Warji,Irawan,Male,Jawa Barat,Bekasi,2017-03-10,Customer Service,Support Specialist,High School,0,Jobstreet,5646442,Good,No,2002-06-20,,
00-21517819,Gilda,Pertiwi,Female,Jawa Barat,Bekasi,2016-11-09,Customer Service,Support Specialist,Bachelor,0,Job Fair,4365037,Good,No,1983-09-06,,
00-93349536,Unjani,Rahayu,Female,Jawa Barat,Bandung,2024-12-20,Finance,Financial Analyst,PhD,0,Job Fair,22495071,Good,No,1985-08-09,,
00-56073103,Rika,Aryani,Female,Jawa Barat,Bandung,2022-10-01,Sales,Sales Representative,Bachelor,0,Company Website,15909389,Good,Yes,1978-06-21,,
00-70406241,Naradi,Nugroho,Male,Jawa Barat,Bandung,2019-08-09,Operations,Inventory Specialist,High School,0,Other,9226302,Satisfactory,Yes,2004-07-12,,
00-82209870,Kardi,Hidayanto,Male,Jawa Barat,Bogor,2017-08-07,Sales,Sales Consultant,Master,0,LinkedIn,23036178,Satisfactory,No,1975-10-26,,
00-44716489,Fitriani,Wijayanti,Female,Sumatera Utara,Medan,2020-07-29,Operations,Logistics Coordinator,Bachelor,0,Jobstreet,6313360,Good,No,1986-03-29,,
00-28971329,Galak,Irawan,Male,Jawa Barat,Bekasi,2022-07-10,Operations,Logistics Coordinator,Bachelor,0,Indeed,11513862,Good,No,1987-01-21,,
00-60547291,Aris,Gunawan,Male,Jawa Barat,Bogor,2020-01-22,Operations,Inventory Specialist,High School,0,Jobstreet,7885489,Satisfactory,No,1967-02-21,,
00-15836056,Gina,Novitasari,Female,Jawa Barat,Bogor,2017-01-08,Customer Service,Help Desk Technician,High School,0,LinkedIn,5072937,Good,Yes,1971-08-30,,
00-36936968,Paramita,Yolanda,Female,Sulawesi Selatan,Makassar,2023-01-01,Finance,Accounts Payable Specialist,Bachelor,13,Job Fair,9282866,Needs Improvement,No,1999-05-22,,
00-17124981,Gamblang,Samosir,Male,Jakarta,Jakarta Timur,2019-03-20,Sales,Sales Consultant,Master,0,Other,25382733,Satisfactory,No,1985-10-13,,
00-62163068,Reksa,Haryanto,Male,Jawa Barat,Bandung,2022-05-13,Operations,Operations Analyst,Master,4,Other,16322627,Satisfactory,No,1978-08-28,,
00-98597172,Tina,Mardhiyah,Female,Jawa Barat,Bandung,2018-12-23,Operations,Logistics Coordinator,Bachelor,0,Other,7746467,Satisfactory,Yes,1985-11-28,,
00-49258091,Wani,Permata,Female,Sumatera Utara,Tebing Tinggi,2023-01-24,Sales,Sales Specialist,Master,5,Company Website,15785823,Needs Improvement,No,1971-05-12,,
00-41026926,Ajimin,Hidayanto,Male,Jawa Barat,Bandung,2024-08-15,Customer Service,Help Desk Technician,High School,0,Company Website,5041397,Good,Yes,1979-07-15,,
00-23368583,Tiara,Laksita,Female,Jawa Barat,Bekasi,2023-10-28,Sales,Sales Consultant,Master,0,Company Website,21068553,Satisfactory,No,2000-04-21,,
00-90142265,Balapati,Saptono,Male,Sumatera Utara,Tebing Tinggi,2020-11-30,Customer Service,Support Specialist,Bachelor,0,Job Fair,7325236,Good,No,1995-12-21,,
00-77196215,Karimah,Hartati,Female,Jawa Barat,Bogor,2024-05-25,Sales,Sales Manager,PhD,0,LinkedIn,34080628,Satisfactory,Yes,1974-11-13,,
00-12884132,Niyaga,Sitompul,Male,Jawa Barat,Bandung,2015-06-03,IT,IT Support Specialist,Bachelor,10,Jobstreet,9224055,Satisfactory,No,1987-07-29,,
00-54770958,Langgeng,Hardiansyah,Male,Jawa Barat,Bogor,2019-05-11,Sales,Sales Representative,Bachelor,0,LinkedIn,10777977,Good,No,1960-10-09,,
00-12465878,Ilsa,Permata,Female,Jawa Barat,Bogor,2018-02-22,Customer Service,Help Desk Technician,Bachelor,0,Company Website,5733971,Excellent,No,1997-01-08,,
00-93917080,Endah,Usamah,Female,Jawa Tengah,Magelang,2018-11-04,Sales,Sales Representative,Bachelor,0,LinkedIn,12639524,Satisfactory,No,1998-01-02,,
00-18322800,Manah,Prasasta,Male,Jakarta,Jakarta Timur,2021-09-10,Operations,Operations Analyst,Master,8,LinkedIn,19480683,Satisfactory,No,1964-08-20,,
00-13954845,Jamalia,Mardhiyah,Female,Jakarta,Jakarta Barat,2024-10-01,Marketing,SEO Specialist,Bachelor,5,Jobstreet,11911422,Satisfactory,Yes,1979-07-13,,
00-30361927,Putri,Rahayu,Female,Jawa Barat,Bandung,2018-03-28,IT,Software Developer,Bachelor,0,LinkedIn,24601607,Satisfactory,No,1978-04-26,,
00-28422816,Salwa,Mardhiyah,Female,Jawa Barat,Bandung,2016-05-26,Sales,Sales Representative,Bachelor,9,Jobstreet,5369721,Good,Yes,1997-08-12,,
00-92201431,Ina,Purwanti,Female,Jawa Barat,Bekasi,2023-02-19,Sales,Sales Representative,Bachelor,0,Indeed,9603271,Excellent,No,1994-01-13,,
00-66013532,Elma,Agustina,Female,Jawa Barat,Bogor,2017-09-30,IT,Software Developer,Bachelor,0,Job Fair,20939321,Good,No,1981-10-23,,
00-51927304,Queen,Suryatmi,Female,Jawa Barat,Bekasi,2023-11-27,Customer Service,Help Desk Technician,Bachelor,0,LinkedIn,6229526,Good,Yes,1990-05-26,,
00-82777382,Vera,Astuti,Female,Jawa Barat,Bekasi,2017-03-12,Sales,Sales Specialist,Master,0,Indeed,20210543,Good,No,1985-02-25,,
00-87984620,Luhung,Manullang,Male,Jawa Barat,Bandung,2020-12-23,Customer Service,Customer Service Representative,High School,0,Job Fair,5972945,Satisfactory,No,1986-02-27,,
00-28536762,Yessi,Novitasari,Female,Jawa Barat,Bekasi,2018-09-06,Operations,Logistics Coordinator,Bachelor,13,LinkedIn,5161659,Excellent,No,1999-11-29,,
00-28153282,Karya,Habibi,Male,Jawa Barat,Bandung,2019-12-30,Customer Service,Help Desk Technician,Bachelor,0,Job Fair,4764027,Good,No,1978-11-25,,
00-85812116,Jamal,Hidayanto,Male,Jawa Barat,Bogor,2024-05-08,Sales,Sales Manager,Master,3,LinkedIn,32086047,Satisfactory,No,2001-05-06,,
00-84804948,Panca,Firgantoro,Male,Sumatera Utara,Binjai,2020-04-02,Customer Service,Help Desk Technician,High School,0,LinkedIn,6440490,Good,No,1976-10-29,,
00-34714210,Jelita,Pertiwi,Female,Jawa Barat,Bekasi,2018-03-07,IT,System Administrator,Master,0,LinkedIn,12813596,Satisfactory,Yes,1979-08-05,,
00-13957187,Siska,Haryanti,Female,Jawa Barat,Bandung,2022-11-16,Customer Service,Help Desk Technician,High School,12,Job Fair,6288301,Needs Improvement,No,1962-08-31,,
00-50714693,Titin,Prastuti,Female,Jawa Barat,Bogor,2019-06-23,Sales,Sales Specialist,Master,2,Jobstreet,11666702,Needs Improvement,No,1994-12-15,,
00-46748299,Adikara,Mustofa,Male,Jawa Barat,Bandung,2017-03-23,Operations,Operations Analyst,Bachelor,0,Company Website,13801378,Good,No,1995-09-27,,
00-27655789,Drajat,Situmorang,Male,Jakarta,Jakarta Pusat,2017-01-27,Sales,Sales Consultant,Master,0,Other,22838959,Good,No,1989-11-13,,
00-45817693,Gara,Mahendra,Male,Jawa Barat,Bekasi,2021-11-02,Operations,Inventory Specialist,Bachelor,0,Job Fair,10086067,Good,No,1993-03-10,,
00-90042177,Cici,Agustina,Female,Sulawesi Selatan,Makassar,2017-01-19,Sales,Sales Specialist,PhD,0,Jobstreet,18643040,Good,No,1981-04-05,,
00-58219240,Harsana,Prasetya,Male,Jawa Barat,Bogor,2016-10-11,Sales,Sales Specialist,Bachelor,0,Company Website,17741557,Satisfactory,No,1979-10-03,,
00-77420864,Lili,Mandasari,Female,Jawa Barat,Bekasi,2023-12-10,Operations,Logistics Coordinator,Bachelor,0,Other,10040991,Needs Improvement,No,1982-04-10,,
00-97183615,Hendri,Prayoga,Male,Jawa Barat,Bekasi,2018-12-09,Sales,Sales Consultant,Bachelor,0,Company Website,22758960,Satisfactory,No,2002-10-19,,
00-73598657,Keisha,Rahmawati,Female,Bali,Ubud,2017-08-01,Sales,Sales Representative,Bachelor,13,LinkedIn,10551480,Good,No,1961-02-17,,
00-14325777,Harimurti,Hardiansyah,Male,Jawa Barat,Bekasi,2019-11-18,Customer Service,Support Specialist,High School,0,Other,7129572,Good,No,1977-03-04,,
00-65437830,Jatmiko,Wijaya,Male,Jawa Barat,Bekasi,2017-12-02,Customer Service,Help Desk Technician,High School,0,Jobstreet,6168808,Good,Yes,1993-05-02,,
00-37455861,Koko,Simbolon,Male,Sulawesi Selatan,Pare-Pare,2016-10-21,Sales,Sales Representative,Bachelor,7,Job Fair,7826302,Satisfactory,No,1983-09-06,,
00-92820305,Silvia,Novitasari,Female,Jawa Barat,Bogor,2019-03-05,Operations,Operations Manager,Bachelor,0,Jobstreet,30453238,Satisfactory,No,1991-02-18,,
00-71410640,Jabal,Firgantoro,Male,Jawa Barat,Bekasi,2023-11-07,IT,Software Developer,Master,0,LinkedIn,16515508,Good,No,1982-08-20,,
00-15613827,Zulfa,Astuti,Female,Banten,Serang,2021-04-25,Operations,Logistics Coordinator,Bachelor,11,Company Website,14424708,Satisfactory,No,1997-03-09,,
00-51996390,Ayu,Pertiwi,Female,Jawa Barat,Bekasi,2019-04-12,Operations,Logistics Coordinator,Bachelor,0,Job Fair,8873596,Satisfactory,No,1984-08-19,,
00-89699265,Wawan,Habibi,Male,Jawa Barat,Bekasi,2020-01-29,HR,HR Coordinator,Bachelor,0,Job Fair,19444229,Satisfactory,Yes,1996-09-14,,
00-15168989,Jasmin,Mandasari,Female,Jakarta,Jakarta Barat,2020-12-10,Operations,Logistics Coordinator,Bachelor,0,Indeed,14868930,Satisfactory,No,2003-02-27,,
00-15692967,Keisha,Lailasari,Female,Jawa Barat,Bandung,2023-10-12,Finance,Accounts Payable Specialist,Bachelor,0,Jobstreet,11399345,Good,No,1983-03-25,,
00-82191574,Citra,Haryanti,Female,Jakarta,Jakarta Timur,2019-05-12,Operations,Inventory Specialist,High School,0,Other,8547754,Satisfactory,No,1994-07-17,,
00-84853354,Rina,Yolanda,Female,Jakarta,Jakarta Barat,2018-10-01,Finance,Financial Analyst,Master,0,Jobstreet,27847566,Good,No,1966-09-03,,
00-35481281,Among,Pratama,Male,Jawa Barat,Bogor,2017-09-11,Operations,Operations Analyst,Bachelor,5,Company Website,17110683,Good,Yes,1987-09-09,,
00-48374806,Eli,Usamah,Female,Jawa Barat,Bogor,2019-03-03,Customer Service,Help Desk Technician,High School,0,LinkedIn,6121681,Good,No,1977-10-13,,
00-92293489,Anastasia,Hariyah,Female,Jawa Barat,Bekasi,2024-05-08,HR,Recruiter,Bachelor,0,LinkedIn,11137853,Satisfactory,No,1985-02-23,,
00-29091078,Farhunnisa,Melani,Female,Sulawesi Selatan,Gowa,2019-06-08,Sales,Sales Specialist,PhD,0,Other,17749021,Needs Improvement,No,1994-12-27,,
00-22138759,Tami,Palastri,Female,Sumatera Utara,Medan,2022-09-14,Operations,Inventory Specialist,Bachelor,0,Indeed,8757261,Excellent,Yes,1994-06-27,,
00-88577462,Intan,Pratiwi,Female,Jawa Barat,Bekasi,2024-04-02,Operations,Logistics Coordinator,Bachelor,0,Jobstreet,11240489,Excellent,Yes,1988-02-28,,
00-28160554,Bakti,Dongoran,Male,Jawa Barat,Bandung,2019-06-02,Finance,Accounts Payable Specialist,Bachelor,0,LinkedIn,8496208,Satisfactory,No,2001-09-24,,
00-13343647,Queen,Wahyuni,Female,Bali,Ubud,2017-03-01,Operations,Inventory Specialist,Bachelor,0,Other,5086210,Needs Improvement,No,1975-11-26,,
00-37102854,Anastasia,Riyanti,Female,Sumatera Utara,Tebing Tinggi,2023-01-02,Operations,Logistics Coordinator,Bachelor,0,Company Website,8487239,Good,Yes,1988-10-30,,
00-53496580,Irsad,Gunawan,Male,Jawa Barat,Bekasi,2022-04-25,Sales,Sales Representative,Bachelor,0,Other,12576055,Satisfactory,No,1992-05-06,,
00-32010905,Ridwan,Sitompul,Male,Jawa Barat,Bogor,2022-08-31,IT,IT Support Specialist,High School,0,LinkedIn,7653826,Needs Improvement,Yes,1978-04-14,,
00-25322958,Limar,Permadi,Male,Jawa Barat,Bandung,2022-03-19,Operations,Inventory Specialist,Bachelor,0,Job Fair,9000930,Satisfactory,Yes,1992-08-05,,
00-21449650,Cinta,Aryani,Female,Jawa Barat,Bogor,2020-03-21,Customer Service,Support Specialist,High School,0,Indeed,6816392,Satisfactory,No,1984-02-27,,
00-78674708,Cawisono,Simanjuntak,Male,Banten,Serang,2021-04-24,Marketing,Content Creator,High School,0,LinkedIn,15977788,Needs Improvement,No,1980-02-15,,
