"employee_id","first_name","last_name","gender","province","city","hiredate","department","job_title","education_level","absences","recruitment_source","salary","performance_rating","overtime","birthdate","termdate","termination_reason"
"00-96126771",Gilang,Mangunsong,Male,Jawa Barat,Bogor,2022-03-12,Operations,Logistics Coordinator,Bachelor,0,Company Website,9001650,Satisfactory,No,1973-12-01,,
"00-57268285",Wasis,Kurniawan,Male,Jawa Barat,Bogor,2017-05-13,Sales,Sales Representative,Bachelor,0,Company Website,9622501,Satisfactory,No,1989-07-14,,
"00-75540707",Vivi,Wahyuni,Female,Jakarta,Jakarta Pusat,2017-03-16,Sales,Sales Consultant,PhD,0,Indeed,31742960,Excellent,No,1987-04-25,,
"00-17882882",Genta,Laksmiwati,Female,Jawa Barat,Bekasi,2020-03-01,Operations,Inventory Specialist,Bachelor,0,Other,8523461,Excellent,No,1978-05-06,,
"00-99686372",Bahuwarna,Maulana,Male,Jawa Barat,Bogor,2015-11-24,Marketing,Content Creator,Bachelor,13,Jobstreet,12897862,Excellent,No,1980-10-27,,
"00-28453800",Winda,Hariyah,Female,Jawa Barat,Bandung,2023-07-17,IT,IT Manager,Master,0,Company Website,31929648,Needs Improvement,No,1985-01-24,,
"00-30270856",Vera,Wastuti,Female,Sumatera Utara,Tebing Tinggi,2015-01-15,Customer Service,Customer Service Representative,Bachelor,0,LinkedIn,7088207,Needs Improvement,Yes,1975-11-03,,
"00-60090149",Salimah,Padmasari,Female,Jawa Barat,Bogor,2016-12-06,Marketing,Content Creator,High School,0,LinkedIn,6045983,Excellent,No,1993-03-02,,
"00-92747827",Pranata,Saragih,Male,Jawa Barat,Bekasi,2024-02-20,Customer Service,Customer Service Representative,Bachelor,0,LinkedIn,6403979,Needs Improvement,Yes,1977-06-28,,
"00-12111482",Lembah,Nainggolan,Male,Jawa Barat,Bekasi,2015-03-01,Operations,Inventory Specialist,High School,16,Indeed,4790099,Good,No,1972-11-16,,
"00-11590610",Carub,Iswahyudi,Male,Jawa Barat,Bogor,2015-11-19,Customer Service,Customer Service Representative,High School,0,Jobstreet,10619339,Satisfactory,Yes,1971-08-18,,
"00-81905550",Mustofa,Winarno,Male,Jawa Barat,Bandung,2024-08-30,Sales,Sales Representative,Bachelor,6,Other,15695808,Good,No,1960-11-23,,
"00-67790557",Yessi,Mandasari,Female,Jawa Barat,Bogor,2023-10-08,Sales,Sales Consultant,PhD,0,LinkedIn,25255222,Good,No,1984-07-07,,
"00-22927031",Maida,Fujiati,Female,Sumatera Utara,Binjai,2020-06-08,Finance,Financial Analyst,PhD,0,Jobstreet,29721433,Good,No,1986-05-04,,
"00-93185576",Karimah,Nasyidah,Female,Jawa Barat,Bogor,2020-06-21,Operations,Logistics Coordinator,Bachelor,12,Job Fair,9505916,Excellent,Yes,1996-01-16,,
"00-63270536",Rahmi,Puspita,Female,Jawa Barat,Bekasi,2016-10-19,Operations,Inventory Specialist,Bachelor,0,Other,7350976,Needs Improvement,Yes,1987-09-06,,
"00-85833309",Ulva,Uyainah,Female,Jawa Barat,Bandung,2017-04-01,Marketing,Marketing Coordinator,Bachelor,0,LinkedIn,12538944,Satisfactory,Yes,1973-03-16,,
"00-50261914",Patricia,Nasyidah,Female,Bali,Kuta,2022-05-01,Finance,Financial Analyst,Bachelor,0,LinkedIn,22110292,Good,No,1978-12-20,,
"00-97227356",Rusman,Wijaya,Male,Jawa Barat,Bekasi,2022-07-02,Sales,Sales Representative,Bachelor,0,Jobstreet,10326377,Good,Yes,2003-05-25,,
"00-60903955",Zahra,Melani,Female,Jawa Barat,Bekasi,2018-05-23,Customer Service,Help Desk Technician,High School,0,LinkedIn,5278387,Satisfactory,No,1960-04-13,,
"00-95462880",Shania,Usada,Female,Sulawesi Selatan,Makassar,2015-06-29,Sales,Sales Specialist,Master,0,Company Website,18029608,Good,No,2000-08-06,,
"00-77089857",Pranawa,Megantara,Male,Sumatera Utara,Binjai,2023-10-30,IT,System Administrator,Bachelor,0,Other,11905461,Good,No,1998-01-31,,
"00-54462389",Harjaya,Ramadan,Male,Jawa Barat,Bogor,2020-07-23,Operations,Inventory Specialist,Bachelor,8,Company Website,5030936,Good,Yes,1983-09-08,,
"00-15711200",Hari,Hutapea,Male,Jakarta,Jakarta Pusat,2017-11-14,Customer Service,Help Desk Technician,High School,0,LinkedIn,4947732,Excellent,Yes,1987-06-21,,
"00-73820568",Farah,Laksmiwati,Female,Jawa Barat,Bekasi,2017-12-06,Operations,Inventory Specialist,High School,11,Company Website,5350865,Good,Yes,1989-02-10,,
"00-47631028",Dwi,Dongoran,Male,Jawa Barat,Bekasi,2023-09-07,Sales,Sales Consultant,Bachelor,0,Job Fair,27317536,Satisfactory,Yes,1970-06-03,,
"00-14416002",Jaya,Nashiruddin,Male,Banten,Serang,2017-08-04,Operations,Logistics Coordinator,Bachelor,0,LinkedIn,13805737,Excellent,No,2002-01-09,,
"00-37804291",Warji,Habibi,Male,Jawa Barat,Bogor,2020-10-03,Customer Service,Support Specialist,Bachelor,13,LinkedIn,5532992,Good,Yes,1985-07-19,,
"00-63458386",Slamet,Rajata,Male,Jakarta,Jakarta Timur,2024-11-26,Operations,Inventory Specialist,Bachelor,0,Company Website,5607911,Satisfactory,No,1982-07-01,,
"00-85693188",Dewi,Puspita,Female,Banten,Serang,2017-02-02,Sales,Sales Consultant,PhD,0,Jobstreet,21092989,Good,No,1990-03-24,,
"00-82553061",Vanesa,Lailasari,Female,Sumatera Utara,Binjai,2018-04-16,Customer Service,Help Desk Technician,Bachelor,6,Job Fair,6138627,Good,No,1974-01-14,,
"00-20526386",Mila,Winarsih,Female,Jawa Tengah,Magelang,2020-02-27,IT,System Administrator,Master,0,Jobstreet,11837838,Satisfactory,No,1978-01-03,,
"00-23111164",Radika,Pratama,Male,Jawa Barat,Bogor,2019-02-05,IT,IT Support Specialist,High School,0,LinkedIn,5818261,Good,Yes,1977-06-14,,
"00-91224373",Warsita,Kusumo,Male,Jawa Barat,Bogor,2022-11-14,Sales,Sales Specialist,Bachelor,14,Indeed,15380523,Good,Yes,2002-02-01,,
"00-53805532",Ihsan,Natsir,Male,Banten,Cilegon,2015-12-28,Customer Service,Customer Service Representative,Bachelor,8,Company Website,6796487,Excellent,No,2004-02-09,,
"00-70471823",Aisyah,Oktaviani,Female,Jawa Barat,Bekasi,2020-01-21,Customer Service,Help Desk Technician,Bachelor,0,Jobstreet,4435399,Satisfactory,No,1982-12-20,,
"00-60388958",Lala,Widiastuti,Female,Sumatera Utara,Binjai,2019-05-26,Customer Service,Help Desk Technician,High School,20,LinkedIn,5840392,Good,Yes,1967-03-27,,
"00-98673882",Gilda,Sudiati,Female,Jakarta,Jakarta Pusat,2018-02-01,Sales,Sales Specialist,Master,8,Indeed,14430318,Satisfactory,Yes,1990-05-20,,
"00-43077929",Kasiyah,Novitasari,Female,Jawa Barat,Bekasi,2022-01-11,Sales,Sales Representative,Bachelor,13,LinkedIn,5758649,Satisfactory,Yes,1997-02-04,,
"00-30699187",Galuh,Hardiansyah,Male,Jawa Barat,Bandung,2018-11-22,Marketing,SEO Specialist,Bachelor,15,Jobstreet,20598049,Satisfactory,No,1999-10-06,,
"00-62294176",Nasab,Simbolon,Male,Sumatera Utara,Tebing Tinggi,2018-05-11,Sales,Sales Consultant,Bachelor,0,Job Fair,19501395,Good,No,1964-09-18,,
"00-10697290",Widya,Laksita,Female,Jakarta,Jakarta Pusat,2024-02-23,Sales,Sales Consultant,Master,0,Other,28610952,Good,No,1983-06-25,,
"00-46207439",Aris,Megantara,Male,Jawa Barat,Bogor,2016-12-22,Operations,Operations Analyst,Master,3,Jobstreet,15746647,Good,Yes,1999-11-20,,
"00-67845091",Yance,Yulianti,Female,Banten,Serang,2019-09-28,Customer Service,Support Specialist,Bachelor,0,Job Fair,6669531,Excellent,No,1984-06-07,,
"00-64766762",Radika,Hidayat,Male,Jawa Barat,Bekasi,2016-10-21,Sales,Sales Representative,Bachelor,0,LinkedIn,9416525,Satisfactory,Yes,1980-09-22,,
"00-84386123",Tiara,Yulianti,Female,Jawa Barat,Bandung,2016-06-23,Operations,Inventory Specialist,Bachelor,15,Company Website,8833583,Good,No,1975-10-01,,
"00-53544301",Latif,Adriansyah,Male,Jawa Barat,Bandung,2023-12-18,IT,IT Support Specialist,High School,0,LinkedIn,8613983,Good,No,1997-05-24,,
"00-65540647",Bahuwirya,Anggriawan,Male,Banten,Cilegon,2018-04-10,IT,Software Developer,Master,0,Job Fair,19463139,Good,No,1984-04-02,,
"00-85099723",Gasti,Lestari,Female,Jawa Barat,Bandung,2023-08-02,Customer Service,Customer Service Representative,High School,14,Jobstreet,8773566,Good,Yes,1993-10-01,,
"00-79941466",Wage,Utama,Male,Sumatera Utara,Medan,2017-08-25,Sales,Sales Representative,Bachelor,13,LinkedIn,6997277,Needs Improvement,No,1967-09-15,,
"00-28634797",Karsana,Prabowo,Male,Jawa Barat,Bekasi,2017-02-13,IT,IT Support Specialist,Bachelor,0,Other,7119014,Good,No,1986-10-03,,
"00-29587040",Prayoga,Megantara,Male,Sumatera Utara,Binjai,2016-04-02,Customer Service,Customer Service Representative,High School,0,LinkedIn,5436088,Satisfactory,No,1980-06-17,,
"00-66519399",Gada,Halim,Male,Jawa Barat,Bogor,2017-01-19,Marketing,SEO Specialist,Bachelor,13,Jobstreet,22132563,Good,Yes,1979-12-06,,
"00-43782566",Halima,Oktaviani,Female,Jakarta,Jakarta Barat,2024-09-05,Sales,Sales Representative,Bachelor,0,LinkedIn,10154360,Satisfactory,No,1963-03-09,,
"00-76545476",Putu,Saragih,Male,Jawa Barat,Bekasi,2020-06-26,Sales,Sales Specialist,PhD,0,LinkedIn,14886006,Good,No,1986-05-03,,
"00-24357588",Atma,Hakim,Male,Jawa Barat,Bekasi,2017-11-21,Customer Service,Customer Service Representative,Bachelor,0,LinkedIn,5609067,Good,No,1980-09-11,,
"00-54589439",Utama,Prayoga,Male,Jawa Barat,Bandung,2023-08-20,Operations,Inventory Specialist,Bachelor,0,Indeed,6893720,Good,No,1998-06-27,,
"00-54230340",Paulin,Anggraini,Female,Sulawesi Selatan,Gowa,2019-09-03,IT,Software Developer,Master,0,LinkedIn,22875739,Satisfactory,No,1991-06-30,,
"00-97380687",Oliva,Nasyidah,Female,Sumatera Utara,Tebing Tinggi,2024-10-06,Marketing,Marketing Coordinator,Bachelor,0,Company Website,5001585,Needs Improvement,No,1978-04-07,,
"00-53038948",Dinda,Purwanti,Female,Banten,Cilegon,2021-06-16,Sales,Sales Specialist,PhD,0,Indeed,16649921,Good,No,1979-07-23,,
"00-74291599",Ade,Rahayu,Female,Jawa Barat,Bogor,2018-04-04,Marketing,Content Creator,Bachelor,0,LinkedIn,11921752,Good,No,1987-03-01,,
"00-49117508",Kenzie,Pranowo,Male,Sulawesi Selatan,Gowa,2022-03-14,IT,IT Support Specialist,High School,0,Job Fair,5415574,Good,Yes,1998-04-26,,
"00-87293208",Salwa,Hasanah,Female,Jawa Barat,Bandung,2023-07-23,IT,System Administrator,Bachelor,10,LinkedIn,14317517,Good,Yes,1983-10-31,,
"00-47621248",Karen,Hassanah,Female,Jawa Barat,Bogor,2023-07-24,Customer Service,Help Desk Technician,Bachelor,0,Company Website,5878648,Good,No,1982-08-01,,
"00-25285764",Kenari,Ramadan,Male,Jawa Barat,Bandung,2024-11-01,Marketing,Content Creator,High School,0,Job Fair,8326598,Good,No,1977-09-05,,
"00-83233096",Ophelia,Anggraini,Female,Jawa Barat,Bandung,2017-06-01,Operations,Inventory Specialist,Bachelor,14,LinkedIn,5316367,Satisfactory,No,1990-06-09,,
"00-71957885",Taufan,Prakasa,Male,Jawa Barat,Bogor,2024-01-17,Finance,Accountant,Bachelor,0,Jobstreet,12588761,Satisfactory,No,1979-06-09,,
"00-49101812",Makara,Nababan,Male,Jawa Barat,Bogor,2023-05-25,Customer Service,Help Desk Technician,High School,14,LinkedIn,6070279,Satisfactory,No,1994-10-30,,
"00-64914054",Hafshah,Anggraini,Female,Jawa Barat,Bekasi,2022-05-19,Sales,Sales Specialist,Master,0,LinkedIn,17009819,Satisfactory,No,1980-04-26,,
"00-50645509",Pandu,Firmansyah,Male,Jawa Barat,Bekasi,2017-05-14,IT,Software Developer,Master,10,LinkedIn,23383453,Satisfactory,No,2002-10-12,,
"00-66791272",Dimas,Utama,Male,Jawa Barat,Bekasi,2023-09-13,Marketing,Content Creator,Bachelor,5,Jobstreet,5953342,Good,Yes,1960-09-10,,
"00-90253323",Lutfan,Habibi,Male,Sumatera Utara,Medan,2019-10-27,Operations,Inventory Specialist,High School,0,LinkedIn,8258167,Needs Improvement,No,1981-08-19,,
"00-77996397",Laksana,Uwais,Male,Jawa Barat,Bekasi,2024-10-20,Customer Service,Help Desk Technician,Bachelor,0,LinkedIn,6246516,Good,Yes,1992-08-11,,
"00-82966824",Juli,Laksmiwati,Female,Jawa Barat,Bogor,2015-01-18,Operations,Inventory Specialist,High School,0,Job Fair,9143514,Needs Improvement,No,1967-06-17,,
"00-27785402",Mala,Mardhiyah,Female,Jawa Barat,Bogor,2022-02-11,Operations,Inventory Specialist,Bachelor,0,Other,6214238,Good,No,1975-12-10,,
"00-82062301",Garan,Saputra,Male,Jawa Barat,Bogor,2020-05-11,Operations,Inventory Specialist,Bachelor,0,Indeed,6249463,Satisfactory,Yes,2000-03-20,,
"00-43316996",Rahmat,Sinaga,Male,Jawa Barat,Bekasi,2022-03-09,Operations,Inventory Specialist,Bachelor,15,LinkedIn,6548246,Satisfactory,No,1987-06-18,,
"00-96838849",Yance,Yuliarti,Female,Jawa Barat,Bogor,2021-09-28,Marketing,Marketing Manager,Bachelor,0,LinkedIn,22447892,Satisfactory,No,1983-11-16,,
"00-96804457",Jatmiko,Sihotang,Male,Jawa Barat,Bogor,2019-03-12,IT,IT Support Specialist,Bachelor,0,Job Fair,5967926,Satisfactory,No,1993-02-14,,
"00-67774765",Yessi,Laksmiwati,Female,Jawa Barat,Bogor,2016-01-25,Sales,Sales Specialist,Master,0,Company Website,17133362,Excellent,No,1976-08-10,,
"00-39796480",Tina,Yuniar,Female,Jawa Barat,Bekasi,2020-01-15,Sales,Sales Specialist,Master,0,Company Website,17460018,Satisfactory,No,1975-02-23,,
"00-87915846",Emil,Januar,Male,Sulawesi Selatan,Gowa,2022-01-18,Sales,Sales Representative,Bachelor,0,Indeed,14480948,Satisfactory,Yes,1977-08-17,,
"00-60213478",Widya,Mulyani,Female,Jawa Barat,Bekasi,2019-12-11,Customer Service,Help Desk Technician,High School,0,LinkedIn,5512407,Good,No,1984-05-20,,
"00-77171380",Artanto,Manullang,Male,Jawa Barat,Bandung,2017-12-29,Operations,Logistics Coordinator,Bachelor,12,Job Fair,11311726,Needs Improvement,No,1988-02-16,,
"00-24032377",Ira,Winarsih,Female,Sumatera Utara,Binjai,2017-06-04,Operations,Inventory Specialist,Bachelor,0,Jobstreet,7787496,Satisfactory,No,1979-02-27,,
"00-29015320",Yulia,Yulianti,Female,Jawa Barat,Bogor,2018-04-09,Sales,Sales Consultant,Master,0,Company Website,28654317,Good,No,1981-12-07,,
"00-37765262",Argono,Waluyo,Male,Sumatera Utara,Tebing Tinggi,2020-09-08,Marketing,Content Creator,High School,0,Jobstreet,7797952,Good,No,1980-08-20,,
"00-23102741",Fitriani,Puspita,Female,Sumatera Utara,Medan,2019-05-19,IT,IT Support Specialist,High School,19,Other,5920246,Satisfactory,No,2000-07-24,,
"00-52803305",Setya,Wibisono,Male,Jawa Barat,Bandung,2016-01-19,Operations,Operations Analyst,Master,0,Job Fair,12700768,Satisfactory,No,1979-08-11,,
"00-25446483",Sakti,Simbolon,Male,Jawa Barat,Bogor,2015-05-09,Finance,Financial Analyst,Bachelor,0,Indeed,28797974,Satisfactory,No,1978-06-27,,
"00-24678410",Empluk,Halim,Male,Banten,Serang,2022-11-07,Customer Service,Support Specialist,Bachelor,0,LinkedIn,6694374,Good,No,1984-10-03,,
"00-42737441",Kartika,Usamah,Female,Jawa Barat,Bogor,2020-12-11,Marketing,Content Creator,Bachelor,0,Jobstreet,10470178,Good,Yes,1983-11-17,,
"00-54424679",Lalita,Usada,Female,Jawa Barat,Bogor,2020-12-13,Sales,Sales Representative,Bachelor,14,Company Website,8374832,Excellent,No,1972-03-27,,
"00-64364546",Kiandra,Padmasari,Female,Sumatera Utara,Medan,2021-03-14,Finance,Financial Analyst,Master,0,Job Fair,23944924,Satisfactory,No,1962-02-20,,
"00-98222374",Jamal,Situmorang,Male,Jawa Barat,Bogor,2019-07-13,Sales,Sales Representative,Bachelor,11,Other,11833145,Satisfactory,Yes,1977-09-28,,
"00-92424037",Gading,Wacana,Male,Jawa Barat,Bogor,2023-07-21,Sales,Sales Representative,Bachelor,0,Company Website,7218539,Satisfactory,Yes,1974-12-13,,
"00-67653606",Hasna,Hasanah,Female,Jawa Barat,Bekasi,2018-10-10,Sales,Sales Specialist,PhD,0,Company Website,19312071,Good,No,1988-03-20,,
"00-37619925",Lintang,Hasanah,Female,Jawa Barat,Bekasi,2017-06-17,Operations,Logistics Coordinator,Bachelor,0,Jobstreet,14872744,Satisfactory,No,1960-10-03,,
"00-18397164",Luhung,Zulkarnain,Male,Jawa Barat,Bogor,2020-03-11,IT,Software Developer,Master,4,Job Fair,24264744,Needs Improvement,No,1975-12-25,,
"00-59095909",Puji,Purwanti,Female,Jawa Barat,Bekasi,2018-05-05,Operations,Inventory Specialist,High School,18,Indeed,8952818,Good,No,1997-07-15,,
"00-45212476",Baktiono,Gunarto,Male,Jawa Tengah,Solo,2022-05-08,Customer Service,Support Specialist,High School,0,Jobstreet,7123993,Good,Yes,1996-10-07,,
"00-95779702",Mitra,Maulana,Male,Jawa Barat,Bandung,2018-04-30,Customer Service,Help Desk Technician,High School,11,Jobstreet,4694196,Satisfactory,Yes,1961-07-21,,
"00-62686364",Melinda,Utami,Female,Jawa Barat,Bogor,2020-03-05,Finance,Finance Manager,PhD,0,LinkedIn,80896216,Good,Yes,1971-01-17,,
"00-71453007",Shakila,Usada,Female,Jawa Barat,Bekasi,2021-05-17,Operations,Logistics Coordinator,Bachelor,0,Jobstreet,7361246,Good,No,1967-06-21,,
"00-49922369",Melinda,Fujiati,Female,Jawa Barat,Bandung,2024-10-09,IT,Software Developer,Master,0,Jobstreet,28175487,Good,Yes,1980-09-21,,
"00-27978165",Tedi,Nugroho,Male,Sumatera Utara,Tebing Tinggi,2018-08-27,Customer Service,Customer Service Representative,High School,0,Indeed,11012811,Satisfactory,No,1982-07-02,,
"00-25696616",Maya,Puspasari,Female,Sumatera Utara,Medan,2017-09-06,Operations,Operations Analyst,Bachelor,0,Company Website,20964608,Good,Yes,1960-02-15,,
"00-78561753",Widya,Handayani,Female,Jawa Barat,Bekasi,2018-01-30,Sales,Sales Consultant,Master,0,Jobstreet,26508182,Good,No,1999-12-13,,
"00-87149161",Salsabila,Susanti,Female,Jawa Barat,Bogor,2018-05-22,Sales,Sales Consultant,PhD,0,Other,23485278,Good,No,1994-11-03,,
"00-95295586",Oliva,Lailasari,Female,Jawa Barat,Bandung,2020-01-13,Operations,Inventory Specialist,Bachelor,7,Indeed,6851013,Satisfactory,No,1988-08-12,,
"00-84479105",Cakrabirawa,Sihombing,Male,Jawa Barat,Bogor,2017-09-21,Operations,Inventory Specialist,Bachelor,6,LinkedIn,7344523,Excellent,No,2001-05-26,,
"00-35111946",Purwa,Prasetya,Male,Sumatera Utara,Binjai,2018-01-14,Finance,Accountant,Bachelor,0,Job Fair,15703625,Good,No,1963-05-30,,
"00-17195581",Dian,Hassanah,Female,Sumatera Utara,Binjai,2023-04-02,Operations,Logistics Coordinator,Bachelor,0,Other,11148170,Good,Yes,1979-01-25,,
"00-28325379",Victoria,Riyanti,Female,Jakarta,Jakarta Timur,2017-05-21,Sales,Sales Representative,Bachelor,8,Other,7567405,Needs Improvement,Yes,1973-08-09,,
"00-77838742",Harjo,Suryono,Male,Jawa Barat,Bogor,2022-01-13,IT,Software Developer,Bachelor,14,Other,27519688,Good,No,1987-07-05,,
"00-75998330",Lukita,Hutagalung,Male,Jawa Barat,Bogor,2019-09-21,Customer Service,Support Specialist,Bachelor,10,Company Website,5831468,Good,No,1959-12-24,,
"00-32448383",Mila,Rahimah,Female,Jawa Barat,Bekasi,2016-05-24,Operations,Logistics Coordinator,Bachelor,0,Other,15730793,Satisfactory,No,1964-12-29,,
"00-39598969",Ibun,Wibowo,Male,Banten,Cilegon,2017-01-30,Sales,Sales Consultant,Master,0,LinkedIn,21159655,Satisfactory,Yes,1986-04-09,,
"00-82156607",Queen,Laksmiwati,Female,Sumatera Utara,Binjai,2017-07-25,Operations,Logistics Coordinator,Bachelor,0,Job Fair,10069929,Good,Yes,1982-02-17,,
"00-76479831",Karimah,Suryatmi,Female,Jawa Barat,Bekasi,2020-05-02,Sales,Sales Specialist,PhD,0,Other,12644625,Good,Yes,1972-10-14,,
"00-25328557",Sadina,Puspasari,Female,Jakarta,Jakarta Timur,2017-04-07,Customer Service,Help Desk Technician,Bachelor,0,LinkedIn,5342282,Needs Improvement,No,1960-01-17,,
"00-59239353",Yosef,Hakim,Male,Jawa Barat,Bogor,2020-01-11,IT,Software Developer,Master,0,LinkedIn,30435089,Satisfactory,No,1971-04-09,,
"00-69239219",Oman,Iswahyudi,Male,Sumatera Utara,Tebing Tinggi,2020-07-12,Operations,Operations Analyst,Bachelor,13,Other,20258442,Good,Yes,1994-09-16,,
"00-97734330",Karja,Nababan,Male,Sulawesi Selatan,Makassar,2022-12-21,Operations,Logistics Coordinator,Bachelor,0,Company Website,18834462,Good,Yes,1964-06-29,,
"00-14325890",Putri,Kusmawati,Female,Jawa Barat,Bogor,2019-04-12,Sales,Sales Representative,Bachelor,0,Jobstreet,8730796,Good,No,1976-06-30,,
"00-21674661",Prayitna,Mustofa,Male,Jawa Barat,Bekasi,2019-10-01,Marketing,Content Creator,High School,17,Company Website,13723748,Good,No,1998-05-23,,
"00-41802361",Ivan,Kurniawan,Male,Jawa Barat,Bandung,2017-08-26,Sales,Sales Representative,Bachelor,0,LinkedIn,12945716,Good,Yes,2002-12-20,,
"00-57060874",Irma,Wahyuni,Female,Sumatera Utara,Binjai,2023-03-19,Operations,Logistics Coordinator,Bachelor,9,Company Website,6590810,Satisfactory,Yes,1986-10-02,,
"00-67467610",Dewi,Laksmiwati,Female,Jawa Barat,Bekasi,2017-11-28,Sales,Sales Consultant,Master,0,LinkedIn,18504923,Satisfactory,No,1997-12-15,,
"00-37732020",Belinda,Uyainah,Female,Jawa Barat,Bekasi,2023-03-09,Customer Service,Customer Service Representative,Bachelor,0,LinkedIn,8784983,Good,No,1995-08-14,,
"00-57085656",Tania,Usada,Female,Jawa Barat,Bandung,2020-02-04,Operations,Logistics Coordinator,Bachelor,0,Indeed,13023018,Needs Improvement,No,1994-06-04,,
"00-32599227",Rusman,Siregar,Male,Sumatera Utara,Binjai,2018-11-25,Customer Service,Customer Service Representative,High School,0,Indeed,11374430,Good,No,1967-03-02,,
"00-48833650",Jamalia,Rahmawati,Female,Jawa Barat,Bekasi,2020-10-02,IT,Software Developer,Master,0,Other,32658294,Good,No,1985-11-12,,
"00-22780905",Atmaja,Saefullah,Male,Jawa Barat,Bogor,2017-07-30,Customer Service,Support Specialist,High School,0,LinkedIn,7386417,Satisfactory,No,1967-09-02,,
"00-47221734",Elvin,Maryadi,Male,Jawa Barat,Bandung,2023-11-27,IT,IT Support Specialist,Bachelor,0,LinkedIn,8725843,Satisfactory,No,1986-01-15,,
"00-27809465",Endah,Mardhiyah,Female,Jakarta,Jakarta Barat,2017-11-05,Customer Service,Customer Service Representative,Bachelor,0,Company Website,7403704,Good,No,1963-05-09,,
"00-43226234",Gilang,Rajasa,Male,Sulawesi Selatan,Pare-Pare,2022-03-29,Customer Service,Support Specialist,Bachelor,0,Job Fair,5127377,Good,No,1961-04-12,,
"00-75694038",Banawi,Januar,Male,Sulawesi Selatan,Pare-Pare,2017-11-04,IT,System Administrator,Bachelor,0,LinkedIn,14932643,Needs Improvement,No,1990-04-09,,
"00-94263610",Dina,Nasyidah,Female,Sumatera Utara,Binjai,2019-11-03,IT,Software Developer,Master,9,LinkedIn,22151730,Needs Improvement,No,1988-12-05,,
"00-95044078",Nilam,Aryani,Female,Jawa Barat,Bekasi,2023-05-21,Sales,Sales Consultant,Master,0,Company Website,24784753,Excellent,No,1996-05-01,,
"00-79204468",Puspa,Rahimah,Female,Jawa Barat,Bekasi,2022-07-01,Customer Service,Support Specialist,Bachelor,0,LinkedIn,7047368,Excellent,No,1964-12-14,,
"00-71028216",Wani,Kuswandari,Female,Jawa Barat,Bandung,2024-08-25,Operations,Operations Analyst,Master,0,LinkedIn,15106933,Excellent,No,1963-06-13,,
"00-10331931",Clara,Hassanah,Female,Jawa Barat,Bandung,2023-05-01,Customer Service,Customer Service Representative,High School,13,Job Fair,4805508,Satisfactory,No,1977-07-13,,
"00-71532017",Hasta,Tamba,Male,Jawa Barat,Bandung,2021-10-07,Operations,Logistics Coordinator,Bachelor,0,LinkedIn,8766786,Satisfactory,No,1973-05-07,,
"00-18500100",Jatmiko,Saptono,Male,Jawa Barat,Bekasi,2023-06-09,Operations,Logistics Coordinator,Bachelor,0,Indeed,12553846,Satisfactory,No,1972-06-17,,
"00-67665720",Vivi,Safitri,Female,Bali,Kuta,2023-11-16,Finance,Accountant,Bachelor,11,LinkedIn,18489158,Good,No,1996-06-21,,
"00-53334226",Kamal,Firgantoro,Male,Jawa Barat,Bekasi,2023-02-18,Operations,Logistics Coordinator,Bachelor,0,LinkedIn,7860039,Satisfactory,No,1990-05-22,,
"00-87568940",Galiono,Sinaga,Male,Jakarta,Jakarta Barat,2017-01-29,Operations,Logistics Coordinator,Bachelor,0,Jobstreet,10937299,Good,No,1995-05-07,,
"00-56135950",Mila,Yuliarti,Female,Jawa Barat,Bekasi,2023-09-22,IT,Software Developer,Master,0,Indeed,34642484,Good,No,1980-12-07,,
"00-23364695",Kariman,Natsir,Male,Jawa Barat,Bogor,2021-02-19,HR,HR Coordinator,Bachelor,0,LinkedIn,21852432,Excellent,Yes,1983-10-25,,
"00-26674831",Tomi,Wibisono,Male,Jawa Barat,Bandung,2024-08-02,Operations,Inventory Specialist,High School,11,Job Fair,5091014,Good,Yes,1992-05-15,,
"00-71272827",Suci,Mayasari,Female,Sumatera Utara,Tebing Tinggi,2015-10-26,Operations,Inventory Specialist,High School,0,Job Fair,7074226,Good,No,1983-11-18,,
"00-27705074",Diah,Usamah,Female,Jawa Tengah,Solo,2023-07-15,Operations,Inventory Specialist,Bachelor,14,LinkedIn,8297041,Good,No,1990-07-16,,
"00-46778269",Viktor,Dabukke,Male,Jawa Barat,Bekasi,2016-11-18,Customer Service,Help Desk Technician,High School,0,LinkedIn,5051344,Good,No,2003-10-25,,
"00-21062296",Dewi,Wulandari,Female,Sumatera Utara,Medan,2018-03-01,Operations,Logistics Coordinator,Bachelor,0,Jobstreet,14879397,Good,No,1978-11-18,,
"00-16950770",Ilsa,Mandasari,Female,Jakarta,Jakarta Timur,2019-03-04,Sales,Sales Specialist,Master,0,Other,19422101,Satisfactory,No,1996-01-08,,
"00-41426254",Janet,Novitasari,Female,Jawa Barat,Bogor,2019-05-15,Operations,Inventory Specialist,Bachelor,12,LinkedIn,9075544,Satisfactory,No,1987-09-27,,
"00-22775337",Padma,Puspita,Female,Jawa Barat,Bogor,2015-11-25,Customer Service,Support Specialist,High School,0,Indeed,4975911,Good,Yes,1966-05-09,,
"00-27810664",Cindy,Namaga,Female,Sumatera Utara,Tebing Tinggi,2020-03-17,Operations,Inventory Specialist,High School,0,Other,8155413,Satisfactory,No,1992-08-27,,
